game,subject,session,plv_method,n_trials,n_left_trials,n_right_trials,n_hit,n_wrong_paddle,n_timeout_close_strong,n_timeout_close_weak,n_timeout_wrong,n_close_strong_early,n_close_weak_early,n_wrong_early,n_timed_out,n_timed_out_close_strong,n_timed_out_close_weak,n_timed_out_wrong,hit_rate,broad_acc,liberal_acc,hit_rate_left,hit_rate_right,broad_acc_left,broad_acc_right,liberal_acc_left,liberal_acc_right,mean_dist_final,mean_dist_trajectory,mean_min_dist,mean_frac_correct_side,mean_reversals,mean_reversals_wrong,mean_reversals_correct,mean_peak_excursion,mean_dist_final_left,mean_dist_final_right,mean_frac_correct_left,mean_frac_correct_right,mean_reaction_s,median_reaction_s,n_no_reaction,mean_trial_duration_s,mean_hit_duration_s,n_fighting,frac_fighting,n_fighting_timeout,n_fighting_wrong_paddle
csp,Subject_002,Session_002,N/A,100,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0,355.0,353.7912068965517,185.98,0.5,0.01,0.01,0.0,170.0,0.0,710.0,1.0,0.0,0.0,0.0,50,2.901666666666665,2.833333333333334,0,0.0,0,0
csp,Subject_002,Session_003,N/A,100,50,50,36,45,1,11,7,0,0,0,26,1,11,7,0.36,0.37,0.48,0.66,0.06,0.68,0.06,0.8,0.16,376.12,362.09909004032653,184.9,0.4621508022066774,6.02,3.1,2.92,170.62,151.88,600.36,0.7169069793677788,0.20739462504557615,0.5306306306306307,0.0,26,6.441999999999999,5.486111111111111,1,0.01,1,1
csp,Subject_002,Session_004,N/A,100,50,50,38,51,2,6,3,0,0,0,13,2,6,3,0.38,0.4,0.46,0.2,0.56,0.22,0.58,0.32,0.6,390.28,376.3352001357679,192.24,0.4346193666497066,3.79,1.94,1.85,163.46,483.56,297.0,0.2674677774190917,0.6017709558803216,0.6447916666666667,0.0,36,4.9623333333333335,4.444736842105264,1,0.01,0,1
csp,Subject_002,Session_005,N/A,100,50,50,49,49,1,0,1,0,0,0,4,1,0,1,0.49,0.5,0.5,0.98,0.0,1.0,0.0,1.0,0.0,351.8,354.49313133638776,184.24,0.5004554979506248,1.33,0.84,0.49,171.62,0.88,702.72,0.9837479117310859,0.017163084170163594,0.06130952380952381,0.0,44,3.475999999999999,3.21156462585034,0,0.0,0,0
csp,Subject_003,Session_002,N/A,100,50,50,46,46,1,2,2,0,1,2,10,1,2,2,0.46,0.47,0.49,0.04,0.88,0.04,0.9,0.04,0.94,345.4,343.681416322686,171.3,0.5237816969635772,15.8,8.4,7.4,184.14,624.68,66.12,0.16586871451860236,0.8816946794085522,0.2682017543859649,0.0,24,5.722833333333333,4.808695652173912,19,0.19,6,13
csp,Subject_003,Session_004,N/A,100,50,50,50,44,1,1,4,0,0,0,6,1,1,4,0.5,0.51,0.52,0.96,0.04,0.96,0.06,0.96,0.08,334.5,348.1354814070266,162.8,0.5181456072579205,3.04,1.61,1.43,192.82,21.56,647.44,0.90452842772138,0.13176278679446066,0.42560386473429956,0.0,31,4.354166666666667,3.914666666666667,0,0.0,0,0
csp,Subject_003,Session_005,N/A,100,50,50,51,48,0,0,1,0,0,0,2,0,0,1,0.51,0.51,0.51,1.0,0.02,1.0,0.02,1.0,0.02,345.02,351.0851463480672,178.64,0.5057519832283903,0.82,0.47,0.35,177.2,0.0,690.04,0.9801664375951957,0.03133752886158491,0.13976608187134504,0.0,43,3.2319999999999993,3.1084967320261443,0,0.0,0,0
csp,Subject_005,Session_002,N/A,100,50,50,40,47,4,4,5,0,0,0,17,4,4,5,0.4,0.44,0.48,0.18,0.62,0.2,0.68,0.2,0.76,363.98,357.32967621120787,171.92,0.47082942447028103,7.02,3.96,3.06,183.58,516.44,211.52,0.2886106679350751,0.653048181005487,0.764,0.0,25,5.974500000000001,4.9875,4,0.04,1,3
csp,Subject_006,Session_002,N/A,100,50,50,31,38,6,6,19,0,0,0,37,6,6,19,0.31,0.37,0.43,0.26,0.36,0.34,0.4,0.42,0.44,371.52,360.24127412174244,181.04,0.47608433124118266,15.46,8.09,7.37,174.28,372.0,371.04,0.43924818078599903,0.5129204816963663,0.5831349206349206,0.0,16,7.520500000000001,6.4924731182795705,20,0.2,15,9
csp,Subject_006,Session_003,N/A,100,50,50,45,47,2,3,3,0,0,0,10,2,3,3,0.45,0.47,0.5,0.08,0.82,0.08,0.86,0.1,0.9,357.1,345.6159041743145,165.92,0.5310591080616681,3.19,1.61,1.58,189.64,606.12,108.08,0.1872408911218555,0.8748773250014809,0.2746478873239437,0.0,29,4.856000000000001,3.8459259259259273,1,0.01,1,0
csp,Subject_006,Session_004,N/A,100,50,50,43,44,2,5,6,0,0,0,14,2,5,6,0.43,0.45,0.5,0.44,0.42,0.46,0.44,0.54,0.46,356.24,357.8989046040024,169.3,0.49391314248276447,3.75,1.96,1.79,186.24,331.6,380.88,0.503331797178022,0.48449448778750687,0.43842592592592594,0.0,28,5.238,4.51860465116279,0,0.0,0,0
csp,Subject_010,Session_002,N/A,100,50,50,49,42,1,4,4,0,0,0,11,1,4,4,0.49,0.5,0.54,0.12,0.86,0.14,0.86,0.18,0.9,329.16,332.9768431412687,151.58,0.5567137308034037,3.98,1.69,2.29,203.94,551.88,106.44,0.26794018583036094,0.8454872757764466,0.308675799086758,0.0,27,4.822666666666666,4.006802721088436,0,0.0,0,0
csp,Subject_011,Session_002,N/A,100,50,50,47,38,4,9,2,0,0,0,22,4,9,2,0.47,0.51,0.6,0.32,0.62,0.4,0.62,0.48,0.72,303.42,324.25402245382725,138.98,0.5867708754311997,6.36,2.61,3.75,216.36,374.76,232.08,0.4853450995913465,0.6881966512710528,0.4162650602409639,0.0,17,5.685000000000001,4.33404255319149,0,0.0,0,0
csp,Subject_012,Session_002,N/A,100,50,50,49,50,0,1,0,0,0,0,1,0,1,0,0.49,0.49,0.5,0.0,0.98,0.0,0.98,0.0,1.0,358.04,356.99307178631057,189.04,0.49030050083472454,0.02,0.02,0.0,166.96,680.0,36.08,0.0,0.9806010016694491,0.19366666666666668,0.0,50,2.9048333333333325,2.8333333333333335,0,0.0,0,0
csp,Subject_012,Session_003,N/A,100,50,50,45,44,1,5,5,0,0,0,15,1,5,5,0.45,0.46,0.51,0.18,0.72,0.18,0.74,0.24,0.78,344.94,346.34774864895337,166.22,0.5159638407985515,4.59,2.21,2.38,189.38,497.16,192.72,0.2921324031027574,0.7397952784943458,0.7166666666666667,0.0,30,5.073166666666666,4.217037037037037,2,0.02,2,1
csp,Subject_014,Session_002,N/A,100,50,50,45,47,1,2,5,0,0,0,10,1,2,5,0.45,0.46,0.48,0.86,0.04,0.88,0.04,0.9,0.06,361.34,349.13306370202247,171.04,0.5174586166644669,5.24,2.34,2.9,184.56,71.56,651.12,0.8738669244699867,0.1610503088589472,0.2893719806763285,0.0,31,4.710666666666666,4.162962962962963,2,0.02,1,2
csp,Subject_014,Session_003,N/A,100,50,50,38,47,7,5,1,0,2,0,16,7,5,1,0.38,0.45,0.5,0.18,0.58,0.22,0.68,0.3,0.7,357.24,354.41730909606736,165.18,0.5057346052512467,4.57,2.17,2.4,190.28,481.2,233.28,0.3496955707882553,0.6617736397142379,0.5261904761904762,0.0,23,5.286833333333333,4.1833333333333345,3,0.03,2,2
